driverStandingsId,raceId,driverId,points,position
1,18,1,10.0,1
2,18,2,8.0,2
3,18,3,6.0,3
4,18,4,5.0,4
5,18,5,4.0,5
6,18,6,3.0,6
7,18,7,2.0,7
8,18,8,1.0,8
9,19,1,14.0,1
10,19,2,11.0,3
11,19,3,6.0,6
12,19,4,6.0,7
13,19,5,10.0,4
14,19,6,3.0,9
15,19,7,2.0,10
16,19,8,11.0,2
17,19,9,8.0,5
18,19,15,5.0,8
19,19,17,2.0,11
20,19,14,0.0,12
21,19,18,0.0,13
22,19,12,0.0,14
23,19,21,0.0,15
24,19,22,0.0,16
25,19,19,0.0,17
26,19,11,0.0,18
27,20,1,14.0,3
28,20,2,16.0,2
29,20,3,7.0,8
30,20,4,6.0,9
31,20,5,14.0,5
32,20,6,3.0,11
33,20,7,2.0,12
34,20,8,19.0,1
35,20,9,14.0,4
36,20,15,8.0,7
37,20,17,4.0,10
38,20,14,0.0,13
39,20,18,0.0,15
40,20,12,0.0,17
41,20,21,0.0,18
42,20,22,0.0,16
43,20,19,0.0,19
44,20,11,0.0,20
45,20,13,10.0,6
46,20,10,0.0,14
47,20,16,0.0,21
48,21,1,20.0,2
49,21,2,16.0,5
50,21,3,7.0,9
51,21,4,6.0,10
52,21,5,14.0,6
53,21,6,5.0,11
54,21,7,2.0,13
55,21,8,29.0,1
56,21,9,19.0,3
57,21,15,9.0,7
58,21,17,8.0,8
59,21,14,0.0,15
60,21,18,3.0,12
61,21,12,0.0,18
62,21,21,0.0,16
63,21,22,0.0,17
64,21,19,0.0,20
65,21,11,0.0,19
66,21,13,18.0,4
67,21,10,0.0,14
68,21,16,0.0,21
69,22,1,28.0,3
70,22,2,20.0,5
71,22,3,8.0,10
72,22,4,9.0,8
73,22,5,14.0,6
74,22,6,5.0,11
75,22,7,2.0,13
76,22,8,35.0,1
77,22,9,24.0,4
78,22,15,9.0,9
79,22,17,10.0,7
80,22,14,0.0,14
81,22,18,3.0,12
82,22,12,0.0,18
83,22,21,0.0,16
84,22,22,0.0,17
85,22,19,0.0,20
86,22,11,0.0,19
87,22,13,28.0,2
88,22,10,0.0,15
89,22,16,0.0,21
90,22,20,0.0,22
91,23,1,38.0,1
92,23,2,20.0,5
93,23,3,8.0,10
94,23,4,9.0,8
95,23,5,15.0,6
96,23,6,7.0,11
97,23,7,2.0,15
98,23,8,35.0,2
99,23,9,32.0,4
100,23,15,9.0,9
101,23,17,15.0,7
102,23,14,0.0,16
103,23,18,3.0,13
104,23,12,0.0,19
105,23,21,0.0,18
106,23,22,3.0,14
107,23,19,0.0,21
108,23,11,0.0,20
109,23,13,34.0,3
110,23,10,0.0,17
111,23,16,0.0,22
112,23,20,4.0,12
113,24,1,38.0,2
114,24,2,28.0,5
115,24,3,8.0,10
116,24,4,9.0,9
117,24,5,15.0,6
