teamStandingsId,raceId,teamId,points,position
1,18,1,14.0,1
2,18,2,8.0,3
3,18,3,9.0,2
4,18,4,5.0,4
5,18,5,2.0,5
6,18,6,1.0,6
7,19,1,24.0,1
8,19,2,19.0,2
9,19,3,9.0,4
10,19,4,6.0,5
11,19,5,2.0,8
12,19,6,11.0,3
13,19,7,5.0,6
14,19,9,2.0,7
15,19,11,0.0,9
16,19,10,0.0,10
17,19,8,0.0,11
18,20,1,28.0,3
19,20,2,30.0,1
20,20,3,10.0,4
21,20,4,6.0,6
22,20,5,2.0,8
23,20,6,29.0,2
24,20,7,8.0,5
25,20,9,4.0,7
26,20,11,0.0,9
27,20,10,0.0,10
28,20,8,0.0,11
29,21,1,34.0,3
30,21,2,35.0,2
31,21,3,12.0,4
32,21,4,6.0,7
33,21,5,2.0,9
34,21,6,47.0,1
35,21,7,9.0,5
36,21,9,8.0,6
37,21,11,3.0,8
38,21,10,0.0,10
39,21,8,0.0,11
40,22,1,42.0,3
41,22,2,44.0,2
42,22,3,13.0,4
43,22,4,9.0,7
44,22,5,2.0,9
45,22,6,63.0,1
46,22,7,9.0,6
47,22,9,10.0,5
48,22,11,3.0,8
49,22,10,0.0,10
50,22,8,0.0,11
51,23,1,53.0,2
52,23,2,52.0,3
53,23,3,15.0,4
54,23,4,9.0,7
55,23,5,6.0,8
56,23,6,69.0,1
57,23,7,9.0,6
58,23,9,15.0,5
59,23,11,6.0,9
60,23,10,0.0,10
61,23,8,0.0,11
62,24,1,53.0,3
63,24,2,70.0,2
64,24,3,15.0,6
65,24,4,9.0,7
66,24,5,7.0,9
67,24,6,73.0,1
68,24,7,17.0,5
69,24,9,21.0,4
70,24,11,8.0,8
71,24,10,0.0,10
72,24,8,0.0,11
73,25,1,58.0,3
74,25,2,74.0,2
75,25,3,15.0,6
76,25,4,12.0,7
77,25,5,7.0,9
78,25,6,91.0,1
79,25,7,23.0,5
80,25,9,24.0,4
81,25,11,8.0,8
82,25,10,0.0,10
83,25,8,0.0,11
84,26,1,72.0,3
85,26,2,82.0,2
86,26,3,16.0,6
87,26,4,15.0,7
88,26,5,7.0,9
89,26,6,96.0,1
90,26,7,25.0,4
91,26,9,24.0,5
92,26,11,14.0,8
93,26,10,0.0,10
94,26,8,0.0,11
95,27,1,86.0,3
96,27,2,89.0,2
97,27,3,16.0,7
98,27,4,23.0,6
99,27,5,8.0,9
100,27,6,105.0,1
101,27,7,25.0,4
102,27,9,24.0,5
103,27,11,14.0,8
104,27,10,0.0,10
105,27,8,0.0,11
106,28,1,100.0,2
107,28,2,90.0,3
108,28,3,16.0,7
109,28,4,31.0,5
110,28,5,8.0,9
111,28,6,111.0,1
112,28,7,35.0,4
113,28,9,24.0,6
114,28,11,14.0,8
115,28,10,0.0,10
116,28,8,0.0,11
117,29,1,113.0,2
118,29,2,96.0,3
119,29,3,17.0,7
120,29,4,31.0,5
121,29,5,11.0,9
122,29,6,121.0,1
123,29,7,41.0,4
124,29,9,24.0,6
125,29,11,14.0,8
126,29,10,0.0,10
127,29,8,0.0,11
128,30,1,119.0,2
129,30,2,107.0,3
130,30,3,17.0,7
131,30,4,36.0,5
132,30,5,17.0,8
133,30,6,131.0,1
134,30,7,41.0,4
135,30,9,25.0,6
136,30,11,14.0,9
137,30,10,0.0,10
138,30,8,0.0,11
139,31,1,129.0,2
140,31,2,117.0,3
141,31,3,17.0,8
142,31,4,41.0,5
143,31,5,27.0,6
144,31,6,134.0,1
145,31,7,41.0,4
146,31,9,26.0,7
147,31,11,14.0,9
148,31,10,0.0,10
149,31,8,0.0,11
150,32,1,135.0,1
151,32,2,120.0,3
152,32,3,26.0,8
153,32,4,51.0,4
154,32,5,31.0,6
155,32,6,134.0,2
156,32,7,46.0,5
157,32,9,28.0,7
158,32,11,14.0,9
159,32,10,0.0,10
160,32,8,0.0,11
161,33,1,135.0,2
162,33,2,128.0,3
163,33,3,26.0,8
164,33,4,66.0,4
165,33,5,34.0,6
166,33,6,142.0,1
167,33,7,50.0,5
168,33,9,29.0,7
169,33,11,14.0,9
170,33,10,0.0,10
171,33,8,0.0,11
1643,34,8,0.0,11
1642,34,10,0.0,10
1641,34,11,14.0,9
1640,34,9,29.0,7
1639,34,7,52.0,5
1638,34,6,156.0,1
1637,34,5,34.0,6
1636,34,4,72.0,4
1635,34,3,26.0,8
1634,34,2,135.0,3
1633,34,1,145.0,2
183,35,1,151.0,2
184,35,2,135.0,3
185,35,3,26.0,8
186,35,4,80.0,4
187,35,5,39.0,6
188,35,6,172.0,1
189,35,7,56.0,5
190,35,9,29.0,7
191,35,11,14.0,9
192,35,10,0.0,10
193,35,8,0.0,11
25742,36,5,0.0,9
25741,36,9,0.0,8
25740,36,8,0.0,7
25739,36,11,0.0,6
25738,36,7,1.0,5
25737,36,3,2.0,4
25736,36,4,4.0,3
25735,36,2,5.0,2
25753,37,5,0.0,9
25752,37,9,0.0,6
25751,37,8,0.0,8
25750,37,11,0.0,7
25749,37,7,3.0,4
25748,37,3,2.0,5
25747,37,4,8.0,3
25746,37,2,10.0,2
25764,38,5,0.0,9
25763,38,9,0.0,6
25762,38,8,0.0,8
25761,38,11,0.0,7
25760,38,7,5.0,4
25759,38,3,2.0,5
25758,38,4,9.0,3
25757,38,2,18.0,2
25756,38,1,44.0,11
25755,38,6,39.0,1
25775,39,5,0.0,10
25774,39,9,4.0,6
25773,39,8,1.0,7
25772,39,11,0.0,8
25771,39,7,5.0,5
25770,39,3,5.0,4
25769,39,4,11.0,3
25768,39,2,23.0,2
25767,39,1,58.0,11
25786,40,5,0.0,8
25785,40,9,4.0,6
25784,40,8,1.0,7
25783,40,11,0.0,9
25782,40,7,5.0,5
25781,40,3,7.0,4
25780,40,4,16.0,3
25779,40,2,30.0,2
25778,40,1,76.0,11
25797,41,5,0.0,8
25796,41,9,4.0,6
25795,41,8,4.0,7
25794,41,11,0.0,9
25793,41,7,6.0,5
25792,41,3,13.0,4
25791,41,4,21.0,3
25790,41,2,38.0,2
25789,41,1,88.0,11
25808,42,5,0.0,8
25807,42,9,6.0,6
25806,42,8,4.0,7
25805,42,11,0.0,9
25804,42,7,9.0,5
25803,42,3,13.0,4
25802,42,4,25.0,3
25801,42,2,39.0,2
25800,42,1,106.0,11
25819,43,5,0.0,9
25818,43,9,6.0,6
25817,43,8,4.0,7
25816,43,11,1.0,8
25815,43,7,9.0,5
25814,43,3,13.0,4
25813,43,4,28.0,3
25812,43,2,48.0,2
25811,43,1,114.0,11
25830,44,5,0.0,9
25829,44,9,6.0,6
25828,44,8,4.0,7
25827,44,11,1.0,8
25826,44,7,9.0,5
25825,44,3,13.0,4
25824,44,4,31.0,3
25823,44,2,56.0,2
25822,44,1,128.0,11
25841,45,5,0.0,9
25840,45,9,16.0,5
25839,45,8,4.0,7
25838,45,11,1.0,8
25837,45,7,9.0,6
25836,45,3,18.0,4
25835,45,4,32.0,3
25834,45,2,61.0,2
25833,45,1,138.0,11
25852,46,5,0.0,9
25851,46,9,16.0,5
25850,46,8,4.0,7
25849,46,11,1.0,8
25848,46,7,12.0,6
25847,46,3,20.0,4
25846,46,4,33.0,3
25845,46,2,71.0,2
25844,46,1,138.0,11
25863,47,5,0.0,9
25862,47,9,16.0,5
25861,47,8,4.0,7
25860,47,11,1.0,8
25859,47,7,12.0,6
25858,47,3,22.0,4
25857,47,4,36.0,3
25856,47,2,77.0,2
25855,47,1,148.0,11
25874,48,5,0.0,9
25873,48,9,16.0,5
25872,48,8,4.0,7
25871,48,11,2.0,8
25870,48,7,12.0,6
25869,48,3,25.0,4
25868,48,4,38.0,3
25867,48,2,86.0,2
25866,48,1,166.0,11
25885,49,5,0.0,9
25884,49,9,18.0,5
25883,49,8,4.0,7
25882,49,11,2.0,8
25881,49,7,12.0,6
25880,49,3,28.0,4
25879,49,4,39.0,3
25878,49,2,90.0,2
25877,49,1,192.0,11
25896,50,5,0.0,10
25895,50,9,23.0,5
25894,50,8,4.0,7
25893,50,11,2.0,8
25892,50,7,12.0,6
25891,50,3,28.0,4
25890,50,4,51.0,3
25889,50,2,92.0,2
25888,50,1,202.0,11
25907,51,5,8.0,7
25906,51,9,24.0,5
25905,51,8,4.0,9
25904,51,11,6.0,8
25903,51,7,12.0,6
25902,51,3,28.0,4
25901,51,4,51.0,3
25900,51,2,94.0,2
25899,51,1,210.0,11
25918,52,5,8.0,7
